Wavelength,S1
nm,Counts
631.775,28818
631.831,29078
631.888,29285
631.945,29300
632.001,29396
632.058,29424
632.115,29371
632.171,29347
632.228,29372
632.285,29052
632.341,28925
632.398,28788
632.455,28432
632.511,28144
632.568,27859
632.625,27569
632.681,27391
632.738,27094
632.794,27206
632.851,27255
632.908,27323
632.964,27574
633.021,27643
633.077,27430
633.134,27598
633.191,27773
633.247,27861
633.304,28114
633.36,28345
633.417,28493
633.474,28964
633.53,28765
633.587,28928
633.643,29064
633.7,28706
633.756,28802
633.813,28633
633.869,28511
633.926,28270
633.983,27956
634.039,27825
634.096,27378
634.152,27148
634.209,26889
634.265,26655
634.322,26560
634.378,26579
634.435,26692
634.491,26945
634.548,26950
634.604,26800
634.661,27083
634.717,27021
634.774,27087
634.83,27234
634.887,27574
634.943,27852
635,28084
635.056,28203
635.113,28344
635.169,28389
635.225,28400
635.282,28193
635.338,28166
635.395,28016
635.451,27802
635.508,27773
635.564,27232
635.621,27154
635.677,26965
635.733,26417
635.79,26344
635.846,26028
635.903,26085
635.959,26024
636.015,26202
636.072,26347
636.128,26427
636.185,26297
636.241,26389
636.297,26455
636.354,26453
636.41,26884
636.466,27086
636.523,27303
636.579,27513
636.635,27617
636.692,27883
636.748,27835
636.805,27556
636.861,27593
636.917,27516
636.974,27274
637.03,27052
637.086,27066
637.143,26862
637.199,26639
637.255,26196
637.311,25858
637.368,25636
637.424,25518
637.48,25564
637.537,25535
637.593,25628
637.649,25703
637.705,25791
637.762,25849
637.818,25836
637.874,25804
637.931,26052
637.987,26347
638.043,26365
638.099,26637
638.156,26856
638.212,26971
638.268,27202
638.324,27043
638.381,27035
638.437,27134
638.493,26882
638.549,26916
638.605,26690
638.662,26443
638.718,26286
638.774,26178
638.83,25636
638.886,25356
638.943,25102
638.999,24870
639.055,25054
639.111,25018
639.167,24864
639.224,25159
639.28,25156
639.336,25207
639.392,25207
639.448,25215
639.504,25308
639.561,25342
639.617,25718
639.673,25921
639.729,26141
639.785,26325
639.841,26454
639.897,26397
639.953,26398
640.01,26562
640.066,26458
640.122,26191
640.178,26033
640.234,26070
640.29,25783
640.346,25535
640.402,25173
640.458,24913
640.514,24709
640.571,24400
640.627,24210
640.683,24463
640.739,24270
640.795,24451
640.851,24620
640.907,24522
640.963,24723
641.019,24570
641.075,24638
641.131,24799
641.187,24954
641.243,25131
641.299,25451
641.355,25682
641.411,25757
641.467,25970
641.523,25889
641.579,25932
641.635,25750
641.691,25709
641.747,25514
641.803,25382
641.859,25158
641.915,25092
641.971,24835
642.027,24560
642.083,24234
642.139,23885
642.195,23789
642.251,23902
642.307,23573
642.363,23955
642.419,23989
642.475,24033
642.531,23913
642.587,23997
642.643,24095
642.698,24129
642.754,24284
642.81,24488
642.866,24779
642.922,24995
642.978,25027
643.034,25211
643.09,25125
643.146,25249
643.202,25310
643.257,25075
643.313,25128
643.369,24819
643.425,24750
643.481,24569
643.537,24445
643.593,24039
643.649,23933
643.704,23503
643.76,23275
643.816,23287
643.872,23189
643.928,23272
643.984,23425
644.039,23308
644.095,23372
644.151,23496
644.207,23508
644.263,23398
644.319,23745
644.374,23716
644.43,23944
644.486,24191
644.542,24273
644.597,24508
644.653,24705
644.709,24570
644.765,24637
644.821,24556
644.876,24588
644.932,24561
644.988,24427
645.044,24251
645.099,24159
645.155,23899
645.211,23518
645.267,23361
645.322,23073
645.378,22870
645.434,22678
645.49,22835
645.545,22793
645.601,22862
645.657,22792
645.712,22885
645.768,22779
645.824,22957
645.879,22931
645.935,23127
645.991,23198
646.047,23350
646.102,23509
646.158,23762
646.214,24043
646.269,23978
646.325,24113
646.381,24079
646.436,24022
646.492,23913
646.547,23959
646.603,23632
646.659,23538
646.714,23310
646.77,23086
646.826,22811
646.881,22500
646.937,22184
646.992,21742
647.048,21376
647.104,20935
647.159,20700
647.215,20571
647.27,20360
647.326,20299
647.382,20444
647.437,20587
647.493,20978
647.548,21219
647.604,21770
647.659,22140
647.715,22552
647.771,22826
647.826,23229
647.882,23446
647.937,23433
647.993,23461
648.048,23346
648.104,23334
648.159,23296
648.215,23209
648.27,22973
648.326,22907
648.381,22635
648.437,22429
648.492,22215
648.548,21894
648.603,21685
648.659,21553
648.714,21530
648.77,21556
648.825,21664
648.881,21496
648.936,21633
648.992,21554
649.047,21624
649.103,21754
649.158,21833
649.214,21750
649.269,22141
649.324,22099
649.38,22286
649.435,22521
649.491,22625
649.546,22626
649.602,22733
649.657,22761
649.712,22716
649.768,22641
649.823,22480
649.879,22425
649.934,22122
649.989,22112
650.045,21919
650.1,21695
650.155,21330
650.211,21048
650.266,20973
650.322,21006
650.377,20811
650.432,20876
650.488,20923
650.543,20955
650.598,21055
650.654,20940
650.709,20918
650.764,20869
650.82,21038
650.875,21165
650.93,21355
650.986,21444
651.041,21732
651.096,21926
651.151,21915
651.207,22007
651.262,21971
651.317,21958
651.373,22008
651.428,22034
651.483,21705
651.538,21725
651.594,21426
651.649,21273
651.704,21085
651.76,20886
651.815,20686
651.87,20387
651.925,20307
651.98,19990
652.036,20122
652.091,20121
652.146,20253
652.201,20205
652.257,20259
652.312,20197
652.367,20260
652.422,20110
652.477,20382
652.533,20398
652.588,20540
652.643,20720
652.698,20837
652.753,21058
652.809,21107
652.864,21146
652.919,21161
652.974,21066
653.029,21009
653.084,20974
653.14,20904
653.195,20849
653.25,20657
653.305,20557
653.36,20293
653.415,20097
653.47,19825
653.525,19569
653.581,19415
653.636,19431
653.691,19413
653.746,19478
653.801,19413
653.856,19525
653.911,19400
653.966,19528
654.021,19471
654.076,19420
654.131,19511
654.187,19604
654.242,19756
654.297,20057
654.352,20072
654.407,20262
654.462,20337
654.517,20426
654.572,20106
654.627,20293
654.682,20208
654.737,20177
654.792,20011
654.847,19934
654.902,19763
654.957,19503
655.012,19334
655.067,19116
655.122,18700
655.177,18463
655.232,18513
655.287,18278
655.342,18375
655.397,18347
655.452,18422
655.507,18414
655.562,18363
655.617,18418
655.672,18515
655.727,18419
655.782,18473
655.837,18597
655.892,18758
655.947,18867
656.001,19035
656.056,19169
656.111,19226
656.166,19243
656.221,19198
656.276,19186
656.331,19224
656.386,19080
656.441,18939
656.496,18961
656.551,18809
656.605,18601
656.66,18509
656.715,18277
656.77,18215
656.825,17922
656.88,17761
656.935,17566
656.989,17612
657.044,17603
657.099,17659
657.154,17610
657.209,17695
657.264,17771
657.318,17737
657.373,17679
657.428,17846
657.483,17971
657.538,18022
657.593,18203
657.647,18352
657.702,18466
657.757,18482
657.812,18645
657.867,18517
657.921,18677
657.976,18656
658.031,18534
658.086,18448
658.14,18521
658.195,18277
658.25,18285
658.305,18108
658.359,17839
658.414,17742
658.469,17450
658.524,17329
658.578,17267
658.633,17189
658.688,17181
658.742,17164
658.797,17328
658.852,17398
658.907,17322
658.961,17307
659.016,17236
659.071,17217
659.125,17395
659.18,17583
659.235,17588
659.289,17719
659.344,17870
659.399,17991
659.453,18080
659.508,18232
659.563,18093
659.617,18211
659.672,18148
659.727,18112
659.781,18032
659.836,17924
659.891,17800
659.945,17755
660,17690
660.054,17306
660.109,17233
660.164,16970
660.218,16885
660.273,16724
660.327,16794
660.382,16731
660.437,16789
660.491,16782
660.546,16834
660.6,16895
660.655,16914
660.709,16849
660.764,16979
660.819,16997
660.873,17218
660.928,17173
660.982,17353
661.037,17532
661.091,17674
661.146,17778
661.2,17780
661.255,17797
661.309,17866
661.364,17754
661.418,17632
661.473,17672
661.527,17563
661.582,17400
661.636,17428
661.691,17137
661.745,17099
661.8,16815
661.854,16764
661.909,16705
661.963,16526
662.018,16448
662.072,16489
662.126,16585
662.181,16429
662.235,16694
662.29,16557
662.344,16632
662.399,16534
662.453,16647
662.507,16689
662.562,16806
662.616,16899
662.671,17249
662.725,17320
